Simulación,Start Date,End Date,Rendimiento Anual Promedio,Desviación Estándar Anual,Downside Risk,CAGR,Rendimiento Efectivo,Sortino Ratio
62,2016-05-07,2021-05-07,0.16284105350474654,0.19133483946634017,0.1716402066369937,0.15532131857638798,1.05596773585295,0.7040369845296003
63,2012-10-17,2017-10-17,0.11980266375324172,0.12137335905008542,0.09144254014938394,0.11896838884035721,0.7518943997526693,0.8508366415252724
64,2012-12-09,2017-12-09,0.13238982204268135,0.11964408148690404,0.09000740461228694,0.1333721756885553,0.8691621083023644,1.0042487330019312
65,2011-04-30,2016-04-30,0.09598612860092488,0.15731824263742059,0.11962949018883592,0.08716982799445105,0.5172419544809603,0.45127776199419917
66,2010-05-17,2015-05-17,0.13736784742611685,0.1565058098705553,0.1201808724277132,0.13322895997300366,0.867055508528624,0.7935359887113402
67,2011-09-27,2016-09-27,0.13186262471830365,0.14104008483962005,0.10169243237429151,0.12963021114912987,0.837643930190878,0.8836707178716425
68,2016-01-17,2021-01-17,0.1576112244156013,0.19137175171648424,0.17093466133199228,0.14929328548381604,1.0029713490037375,0.6763474623269013
69,2014-06-19,2019-06-19,0.08933043598483875,0.13384137088328138,0.10534527146191969,0.08366673267877323,0.4934880632143164,0.44928866125659755
70,2010-06-06,2015-06-06,0.14982559714575963,0.1529530278824194,0.11673626344759612,0.14806175114071274,0.9922797761883457,0.9236683954182192
71,2018-03-16,2023-03-16,0.09683912790331772,0.2182153310496068,0.1772852797474398,0.075636274671113,0.43905000899112,0.3093270235489456
72,2011-02-25,2016-02-25,0.09091430415203947,0.15787524233667125,0.12010190323728948,0.08157541766628085,0.47869499041707164,0.4072733473290409
73,2017-04-26,2022-04-26,0.13180619604604007,0.19894069102252043,0.17424789075575223,0.118374269953609,0.7488116110091068,0.5153933035087566
74,2010-02-23,2015-02-23,0.14416057194157267,0.1591999579346527,0.12329209098445605,0.14046512600215055,0.9273341486967215,0.8286060454149689
75,2010-11-02,2015-11-02,0.1254213864217522,0.15369952083060298,0.11870259756986207,0.12026282329208748,0.7628209015900937,0.7027764187944985
76,2012-01-08,2017-01-08,0.12363520319665328,0.12840340239692424,0.0926543698624407,0.12228111124779195,0.7779183784501997,0.8810723478865914
77,2014-07-10,2019-07-10,0.09332349259623048,0.13394752379045982,0.1054284081580217,0.08798558555193048,0.5234389246768136,0.4868089492473803
78,2018-06-28,2023-06-28,0.1193863191147687,0.21735973496586988,0.1766076937065225,0.10036192436081337,0.6113255736155454,0.4381820377733106
79,2019-09-01,2024-09-01,0.1558704108502606,0.2121857788114559,0.1729377800848509,0.14249852101816574,0.9435220624320295,0.6584472796770651
80,2017-06-18,2022-06-18,0.10222242749729905,0.20597983135721307,0.17990131502467357,0.08422587356418965,0.4978194657337791,0.33475256970211426
81,2012-03-26,2017-03-26,0.10912655671968419,0.12753826938049495,0.09237662639002203,0.10624483960622366,0.654757089119747,0.7266617037546933
82,2017-11-13,2022-11-13,0.1107713887866242,0.2169261762138243,0.18048541827163467,0.09101733729071837,0.5447493059035156,0.3810357060708455
83,2014-12-06,2019-12-06,0.09399484239307228,0.13552300925512675,0.10741364410625392,0.08848183589995506,0.526910912747081,0.48406180449141833
84,2015-05-22,2020-05-22,0.08417421220359297,0.1904717072712562,0.16637726097673508,0.06815023456049385,0.3901065208509267,0.2534854339830146
85,2014-02-28,2019-02-28,0.08974999355259869,0.13297706782360155,0.10495204598642177,0.08424640847279208,0.4974804718349719,0.45496963021355835
86,2018-09-21,2023-09-21,0.10221647138713315,0.2180684599217286,0.17578029451476154,0.08147087627406369,0.47798220122654067,0.3425666770746953
87,2018-08-06,2023-08-06,0.1143304207234685,0.21747506481861276,0.17635258121366157,0.09478762391435946,0.5710180811731633,0.41014665181359555
88,2016-06-13,2021-06-13,0.16161285771422584,0.19156154185660207,0.1719107246667013,0.15385355966040404,1.0429616373271893,0.6957847333034631
89,2011-03-28,2016-03-28,0.10086677224966319,0.1571905820652906,0.119778077004013,0.09250888024537263,0.5547746051551299,0.49146533090267375
90,2018-09-06,2023-09-06,0.11190633145592191,0.21781976103858644,0.1761344483929074,0.09205627963138374,0.5515643941935582,0.39689187489309385
91,2019-06-29,2024-06-29,0.14512135386977032,0.2122044495547833,0.17304660224571464,0.13028376237148764,0.8420620634536813,0.5959166636704306
