Simulación,Start Date,End Date,Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
1,2019-09-11,2024-09-11,SVR-CPO,0.14949319905093283,0.23444274415289829,0.8472247816255629,0.1781838257007543,0.1305299378634257,0.6032713610687604
1,2019-09-11,2024-09-11,XGBoost-CPO,0.18911373045230603,0.2520059539811894,1.2069777625556233,0.18890987617209354,0.17147052254972373,0.7787508701677832
1,2019-09-11,2024-09-11,EqualWeight,0.1428274916771201,0.2239362426145808,0.807601434313985,0.17751935846024758,0.12563976506256824,0.5679802617115626
1,2019-09-11,2024-09-11,MinVar,0.10639464528847181,0.21298200867293446,0.5239062591387593,0.17000910533753716,0.08786907044308889,0.37877174378761813
1,2019-09-11,2024-09-11,MaxSharpe,0.16753068854564343,0.28005953993541155,0.9070185640393575,0.19547197752280776,0.13775294023300466,0.6421927589646268
2,2016-01-05,2021-01-05,SVR-CPO,0.14572109617370593,0.23425726604724345,0.8122781924894733,0.1926523848439927,0.1262213917211592,0.5383846987292572
2,2016-01-05,2021-01-05,XGBoost-CPO,0.13087102350292176,0.23151309681138266,0.6865290792057352,0.1987583558312456,0.11014608100719792,0.4471310055431183
2,2016-01-05,2021-01-05,EqualWeight,0.16669038595688876,0.22761735202995978,1.0293616865231687,0.19710401512845935,0.15198455549654577,0.632612105215735
2,2016-01-05,2021-01-05,MinVar,0.12868577516776658,0.20270707569096394,0.7231030225274433,0.16855317190551425,0.11491779514699463,0.5142933484298947
2,2016-01-05,2021-01-05,MaxSharpe,0.18021241800465673,0.21570705314218694,1.2028518246335338,0.17320072919598262,0.17103236246110143,0.7979898158988961
3,2016-07-06,2021-07-06,SVR-CPO,0.2643265840331515,0.24279296168968503,2.2597567670909915,0.19712976645683078,0.26663385346375157,1.1278184316311182
3,2016-07-06,2021-07-06,XGBoost-CPO,0.22414904860062673,0.23452241574956417,1.6872947758083372,0.1977441750974918,0.21863828303836308,0.9211348375284564
3,2016-07-06,2021-07-06,EqualWeight,0.24051674774071052,0.22725877289462518,1.9435105494311031,0.1908700956897906,0.24104050992021264,1.0400620748016365
3,2016-07-06,2021-07-06,MinVar,0.16896968318798006,0.20706170046207328,1.0995489705626422,0.18375713635800048,0.15993598608338688,0.6909646379154188
3,2016-07-06,2021-07-06,MaxSharpe,0.1624161151235193,0.21663696725784767,1.011984256617418,0.16919011344281376,0.15009371345387001,0.7117207540866147
4,2013-09-10,2018-09-10,SVR-CPO,0.1568210807889804,0.14050820663529934,1.0953655770263753,0.10354725143557966,0.1594733147557239,1.1088761816185395
4,2013-09-10,2018-09-10,XGBoost-CPO,0.14481504923455607,0.13516441181045044,0.9798225937516978,0.10058600338335937,0.14639260925512887,1.0221605966657332
4,2013-09-10,2018-09-10,EqualWeight,0.15397150827485298,0.1322570681774941,1.0772813160361108,0.0973732639389377,0.15746470480615327,1.1499204580948397
4,2013-09-10,2018-09-10,MinVar,0.15868800182095893,0.12146544549952668,1.1419535209904703,0.0873698762096081,0.16458466432827934,1.3355633186547506
4,2013-09-10,2018-09-10,MaxSharpe,0.2094717780356306,0.17080976460036468,1.6673282183384708,0.11618346968977368,0.21682173585789055,1.4414423883432297
5,2013-12-18,2018-12-18,SVR-CPO,0.10271474974007108,0.14863357639590558,0.5857914918736482,0.11090641553735031,0.0966163074976818,0.5474412769171498
5,2013-12-18,2018-12-18,XGBoost-CPO,0.11668046492524403,0.15454130080110456,0.6933707425360731,0.1199760013850938,0.11110902233395104,0.6224616928642077
5,2013-12-18,2018-12-18,EqualWeight,0.09773396183547875,0.14606509953391128,0.5494922738092132,0.10994612492323089,0.09154863486032849,0.5069206565888029
5,2013-12-18,2018-12-18,MinVar,0.10964339345493439,0.1132372158274844,0.6808617665108043,0.08251550649705121,0.10946236642856477,0.8197658394952918
5,2013-12-18,2018-12-18,MaxSharpe,0.07621655830401189,0.149750226178885,0.38674861241326663,0.1114886523634735,0.06758739201269393,0.3069061969863948
6,2019-06-19,2024-06-19,SVR-CPO,0.21812515917158137,0.24642666536258787,1.5687824927704561,0.19620967252067742,0.20756864309438705,0.897637496199483
6,2019-06-19,2024-06-19,XGBoost-CPO,0.1818266630267104,0.26033442251310895,1.102568097312421,0.2058874738381188,0.16017503442094405,0.6791411853284993
6,2019-06-19,2024-06-19,EqualWeight,0.1812529125386827,0.2373128322433267,1.1581920554233087,0.1894646327589945,0.16624713133079272,0.7349810384707375
6,2019-06-19,2024-06-19,MinVar,0.09445638189157436,0.1948989905919876,0.4611990547698548,0.1580358531064257,0.07876874094132091,0.3319270966712141
6,2019-06-19,2024-06-19,MaxSharpe,0.246200165220077,0.23626949474195566,1.9974121214654565,0.17472006084636074,0.24540369558929376,1.1687276448446264
7,2010-10-25,2015-10-25,SVR-CPO,0.19462010745504194,0.17248569939957786,1.4696660538941213,0.1252629999490616,0.19822505856907324,1.2183973521080058
7,2010-10-25,2015-10-25,XGBoost-CPO,0.18074514905387526,0.18012452704138965,1.2875324377408104,0.13390263478189376,0.18000349200199595,1.0361644435142683
7,2010-10-25,2015-10-25,EqualWeight,0.17516140705593483,0.17189337608558874,1.240518072728546,0.12890442572060032,0.1751120606091765,1.0330243225671825
7,2010-10-25,2015-10-25,MinVar,0.14143463152635163,0.12511787993104095,0.9583460367174967,0.08898766484150103,0.14389425615752338,1.1173979191774281
7,2010-10-25,2015-10-25,MaxSharpe,0.14574103052602988,0.15980155899385753,0.9521186034434239,0.11053144385835909,0.14316572508725867,0.9385657773453967
