,0
Rendimiento Anual Promedio,0.12204579284938286
Desviación Estándar Anual,0.16838657679762176
CAGR,0.11338607379043061
Sortino Ratio,0.610239809658196
Downside Risk,0.13716746854292552
Rendimiento Efectivo,0.7179116941619895
